gdc_username,east_count,west_count,north_count,south_count,total_images
TMMz Wing,16,16,16,16,64
Rajasthan Geo-spatial Directorate,233,233,233,233,932
Andhra Pradesh & Telangana Geo-spatial Directorate,4,4,4,4,16
"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",60,60,60,60,240
"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",21,20,18,17,76
Jammu & Kashmir and Ladakh Geo-spatial Directorate,32,30,29,28,119
Maharashtra and Goa Geo-spatial Directorate,175,174,173,173,695
Kerala & Lakshdweep Wing,43,41,40,40,164
Madhya Pradesh Geo-spatial Directorate,54,48,46,45,193
Odisha & Chhattishgarh Geo-spatial Directorate,1,1,1,1,4
Assam & Nagaland and TMMz Geo-Spatial Directorate,12,12,12,12,48
Jharkhand & Bihar  GD (Bihar Wing),12,12,12,11,47
Gujarat Daman & Diu Geo-spatial Directorate,18,18,16,18,70
Uttar Pradesh Geo-spatial Directorate,82,82,81,81,326
Uttarakhand  Geo-spatial Directorate,2,2,2,2,8
West Bengal & Sikkim Geo-spatial Directorate,103,103,102,99,407
Odisha & Chhattisgarh GD (Chhattisgarh Wing),45,46,46,46,183
Karnataka Geo-spatial Directorate,34,31,23,15,103
Jharkhand & Bihar  Geo-spatial Directorate,0,0,0,0,0
Meghalaya and Arunachal Pradesh Geo-spatial Directorate,30,31,30,30,121
Delhi Geo-spatial and International Boundary Directorate,2,2,2,2,8
